Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Forces_Ratios.KneeFlexion Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Quadriceps_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Tendon_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_PatelloFemoral_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_LateralCondyle_Compression_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_MedialCondyle_Compression_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_LateralCondyle_Total_Ratio_BW Main.KneeSimulatorStudy.Outputs.Forces_Ratios.Contact_MedialCondyle_Total_Ratio_BW
0.000000000000000e+00 9.999999999999991e+00 7.684862645551065e+00 6.991858555240744e+00 1.574735232213733e+01 2.170404850414100e+01 2.751732560890368e+01 2.217042358506874e+01 2.766795567940111e+01
3.333333333333333e-02 1.054630998165487e+01 7.557456016729803e+00 6.897051035788379e+00 1.576809952088829e+01 2.159545370961896e+01 2.745248105805781e+01 2.206108531151330e+01 2.760528861074337e+01
6.666666666666667e-02 1.216136355893497e+01 7.194298031451217e+00 6.636487357652348e+00 1.582287754821016e+01 2.128936511642675e+01 2.727215123940456e+01 2.175398503645845e+01 2.743185793658091e+01
1.000000000000000e-01 1.477457514062632e+01 6.693907722706410e+00 6.261029340730155e+00 1.590040725962485e+01 2.081188223605670e+01 2.702377537725932e+01 2.127438756480977e+01 2.719333441913810e+01
1.333333333333333e-01 1.827173484102854e+01 6.158041964151579e+00 5.824381858615045e+00 1.598772124257384e+01 2.020081707160973e+01 2.675745034161474e+01 2.066083923805889e+01 2.693912600374555e+01
1.666666666666667e-01 2.250000000000000e+01 5.630353058477325e+00 5.354012341265753e+00 1.606062545343365e+01 1.949250289976433e+01 2.649307339884287e+01 1.994925524379147e+01 2.668487233060199e+01
2.000000000000000e-01 2.727457514062631e+01 5.207986640983248e+00 4.965592656676271e+00 1.615414893967098e+01 1.876239133527061e+01 2.630342957496504e+01 1.921632135243567e+01 2.650393593486956e+01
2.333333333333333e-01 3.238678841830866e+01 4.905693464421375e+00 4.675335018434951e+00 1.626646806441850e+01 1.802740936084582e+01 2.618334841885169e+01 1.847467493784803e+01 2.639045593506720e+01
2.666666666666667e-01 3.761321158169134e+01 4.547994926424906e+00 4.314374544214666e+00 1.625118737498896e+01 1.724099715682192e+01 2.603825272239950e+01 1.768664136989180e+01 2.625432015839919e+01
3.000000000000000e-01 4.272542485937367e+01 4.381770126836532e+00 3.882963570671061e+00 1.605205904309607e+01 1.649214107564273e+01 2.580888313504990e+01 1.694029065257800e+01 2.603649243301412e+01
3.333333333333333e-01 4.750000000000001e+01 3.969718120081509e+00 3.471887464678416e+00 1.586089241803664e+01 1.571704725925599e+01 2.567707605258396e+01 1.617020689098534e+01 2.591725368387998e+01
3.666666666666666e-01 5.172826515897145e+01 3.586761322638945e+00 3.107939113785325e+00 1.564447121740331e+01 1.504383713611923e+01 2.556313640192418e+01 1.550353272433150e+01 2.581610783854218e+01
4.000000000000000e-01 5.522542485937370e+01 3.290122819791549e+00 2.838531974909911e+00 1.546424293297187e+01 1.450985775117888e+01 2.548458732269206e+01 1.497433003974158e+01 2.574786092481716e+01
4.333333333333333e-01 5.783863644106503e+01 3.094754354204677e+00 2.668526297389048e+00 1.534522714759353e+01 1.412824644534324e+01 2.543965915298299e+01 1.459542056553604e+01 2.571029873765307e+01
4.666666666666667e-01 5.945369001834514e+01 2.990350799410313e+00 2.581222226515465e+00 1.528282385831096e+01 1.390955215236063e+01 2.542145636509449e+01 1.437827354224522e+01 2.569632887808661e+01
5.000000000000000e-01 6.000000000000001e+01 2.958522067202576e+00 2.555083893463507e+00 1.526496989454589e+01 1.383672266362036e+01 2.541622470506922e+01 1.430580408873822e+01 2.569242698214645e+01
5.333333333333333e-01 5.945369001834514e+01 2.990361822220500e+00 2.581229253794775e+00 1.528284103711308e+01 1.390952312940573e+01 2.542152084216650e+01 1.437824145079627e+01 2.569639555987816e+01
5.666666666666667e-01 5.783863644106503e+01 3.094510061578915e+00 2.667796283788754e+00 1.534742113481619e+01 1.412676415894874e+01 2.543745560120730e+01 1.459388897419884e+01 2.570807520959273e+01
6.000000000000000e-01 5.522542485937367e+01 3.290047449970252e+00 2.838528495495496e+00 1.546392774016787e+01 1.450985348318903e+01 2.548454345440647e+01 1.497432376861258e+01 2.574781332835853e+01
6.333333333333333e-01 5.172826515897146e+01 3.586690583547838e+00 3.107691630617399e+00 1.564526555642120e+01 1.503979147517178e+01 2.556463049514108e+01 1.549890355714136e+01 2.581761661749636e+01
