Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Forces_Values.KneeFlexion Main.KneeSimulatorStudy.Outputs.Forces_Values.Quadriceps Main.KneeSimulatorStudy.Outputs.Forces_Values.Tendon Main.KneeSimulatorStudy.Outputs.Forces_Values.Contact_PatelloFemoral Main.KneeSimulatorStudy.Outputs.Forces_Values.Contact_LateralCondyle_Compression Main.KneeSimulatorStudy.Outputs.Forces_Values.Contact_MedialCondyle_Compression Main.KneeSimulatorStudy.Outputs.Forces_Values.Contact_LateralCondyle_Total Main.KneeSimulatorStudy.Outputs.Forces_Values.Contact_MedialCondyle_Total
0.000000000000000e+00 9.999999999999991e+00 5.880303199122764e+03 5.350030329299113e+03 1.204955904985305e+04 1.660750383439861e+04 2.105570720942092e+04 1.696436471882290e+04 2.117096632676414e+04
3.333333333333333e-02 1.054630998165487e+01 5.782814194881311e+03 5.277485511564552e+03 1.206543439139330e+04 1.652440926952624e+04 2.100608945600468e+04 1.688070125866375e+04 2.112301473916861e+04
6.666666666666667e-02 1.216136355893497e+01 5.504932967705843e+03 5.078107396328423e+03 1.210734944233945e+04 1.629019639978742e+04 2.086810468536759e+04 1.664571427019727e+04 2.099030905591299e+04
1.000000000000000e-01 1.477457514062632e+01 5.122044311260491e+03 4.790814430939900e+03 1.216667362691974e+04 1.592483604938587e+04 2.067805244317129e+04 1.627873587684114e+04 2.080779563083609e+04
1.333333333333333e-01 1.827173484102854e+01 4.712010550129506e+03 4.456700510575060e+03 1.223348454039265e+04 1.545726120685433e+04 2.047426585239677e+04 1.580926096817790e+04 2.061328043554602e+04
1.666666666666667e-01 2.250000000000000e+01 4.308233553285680e+03 4.096783163289729e+03 1.228926938445836e+04 1.491527336884167e+04 2.027196990332659e+04 1.526477112744436e+04 2.041873060993003e+04
2.000000000000000e-01 2.727457514062631e+01 3.985047217947562e+03 3.799572189035549e+03 1.236083168565744e+04 1.435660660192237e+04 2.012685824217175e+04 1.470394477245673e+04 2.028028169864349e+04
2.333333333333333e-01 3.238678841830866e+01 3.753738525105949e+03 3.577472849406056e+03 1.244677603353175e+04 1.379421309473200e+04 2.003497454313694e+04 1.413645176894256e+04 2.019344907239472e+04
2.666666666666667e-01 3.761321158169134e+01 3.480034757801810e+03 3.301273113742179e+03 1.243508355559405e+04 1.319246620445699e+04 1.992395021812565e+04 1.353346424341381e+04 2.008928069880389e+04
3.000000000000000e-01 4.272542485937367e+01 3.352842865652778e+03 2.971166065006083e+03 1.228271453859625e+04 1.261945650826031e+04 1.974844119727749e+04 1.296237160153964e+04 1.992260327989374e+04
3.333333333333333e-01 4.750000000000001e+01 3.037548911123969e+03 2.656618850222630e+03 1.213643766043327e+04 1.202637022183750e+04 1.964758505391619e+04 1.237311890884416e+04 1.983136417383128e+04
3.666666666666666e-01 5.172826515897145e+01 2.744518028856869e+03 2.378132851086255e+03 1.197083648613267e+04 1.151124329981571e+04 1.956040071202434e+04 1.186299317000398e+04 1.975396939589571e+04
4.000000000000000e-01 5.522542485937370e+01 2.517536179248098e+03 2.171987896561566e+03 1.183292940745142e+04 1.110265295404705e+04 1.950029652757751e+04 1.145805785980947e+04 1.970174822245160e+04
4.333333333333333e-01 5.783863644106503e+01 2.368044136750335e+03 2.041902952236152e+03 1.174186090879562e+04 1.081065161504774e+04 1.946591839067953e+04 1.116812390833687e+04 1.967300638807737e+04
4.666666666666667e-01 5.945369001834514e+01 2.288156624692784e+03 1.975099623285104e+03 1.169411115990238e+04 1.064331111594331e+04 1.945198998144300e+04 1.100196734905520e+04 1.966231693093431e+04
5.000000000000000e-01 6.000000000000001e+01 2.263801915382067e+03 1.955099093600407e+03 1.168044966390862e+04 1.058758344774903e+04 1.944798681982487e+04 1.094651517262071e+04 1.965933127819882e+04
5.333333333333333e-01 5.945369001834514e+01 2.288165059126683e+03 1.975105000418686e+03 1.169412430477819e+04 1.064328890815868e+04 1.945203931800896e+04 1.100194279332029e+04 1.966236795450757e+04
5.666666666666667e-01 5.783863644106503e+01 2.367857208918954e+03 2.041344360429479e+03 1.174353970393865e+04 1.080951739914440e+04 1.946423227693180e+04 1.116695196527747e+04 1.967130498887617e+04
6.000000000000000e-01 5.522542485937367e+01 2.517478507768238e+03 2.171985234183244e+03 1.183268822822165e+04 1.110264968826658e+04 1.950026296044274e+04 1.145805306126698e+04 1.970171180259338e+04
6.333333333333333e-01 5.172826515897146e+01 2.744463900719135e+03 2.377943481915822e+03 1.197144429846238e+04 1.150814764097195e+04 1.956154396227205e+04 1.185945102385343e+04 1.975512388337587e+04
6.666666666666666e-01 4.750000000000001e+01 3.037383159500593e+03 2.656474206728560e+03 1.213628837199732e+04 1.202635014105674e+04 1.964740527743259e+04 1.237308061416762e+04 1.983115292900813e+04
7.000000000000000e-01 4.272542485937370e+01 3.352714770607583e+03 2.971052491284904e+03 1.228262713761480e+04 1.261953867482247e+04 1.974829266122907e+04 1.296244160614285e+04 1.992243123807885e+04
7.333333333333333e-01 3.761321158169136e+01 3.478841666264070e+03 3.301983770057609e+03 1.242504212497397e+04 1.320063681374895e+04 1.991701812132646e+04 1.354153853403715e+04 2.008229878424770e+04
7.666666666666667e-01 3.238678841830867e+01 3.755939880872813e+03 3.577273576369515e+03 1.244827742433770e+04 1.379407408453667e+04 2.003479545846779e+04 1.413631552492951e+04 2.019327161989154e+04
8.000000000000000e-01 2.727457514062632e+01 3.985505058274316e+03 3.799755039195897e+03 1.236089916923161e+04 1.435762043170344e+04 2.012613494272589e+04 1.470498627680339e+04 2.027961862065841e+04
8.333333333333334e-01 2.249999999999999e+01 4.310175330839863e+03 4.101117208099489e+03 1.229067321861767e+04 1.491569710685754e+04 2.027726238854766e+04 1.526504908789897e+04 2.042528449954663e+04
8.666666666666667e-01 1.827173484102856e+01 4.709885244293118e+03 4.454597738764120e+03 1.223352181198371e+04 1.545722062414573e+04 2.047424889937855e+04 1.580894923538469e+04 2.061190303728294e+04
9.000000000000000e-01 1.477457514062630e+01 5.122286091301354e+03 4.790868101868197e+03 1.216690425735259e+04 1.592541770046754e+04 2.067761425444217e+04 1.627948727075027e+04 2.080739337328216e+04
9.333333333333333e-01 1.216136355893498e+01 5.505636778761866e+03 5.078633737853351e+03 1.210746214418596e+04 1.629127911422430e+04 2.086729706463340e+04 1.664661864498088e+04 2.098914718020644e+04
9.666666666666667e-01 1.054630998165486e+01 5.784114289580387e+03 5.278342175815254e+03 1.206608001892027e+04 1.652560747107818e+04 2.100559569269140e+04 1.688177271365444e+04 2.112222615627011e+04
1.000000000000000e+00 9.999999999999998e+00 5.880683265613998e+03 5.350026208433951e+03 1.205018453707503e+04 1.660760701934826e+04 2.105562197425701e+04 1.696446905028478e+04 2.117088415741725e+04
