Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_PatelloFemoral.KneeFlexion Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_PatelloFemoral.Patella_MedialShift Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_PatelloFemoral.Patella_AnteriorPosterior Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_PatelloFemoral.Patella_SuperiorInferior
0.000000000000000e+00 9.999999999999991e+00 1.763474373408929e+00 3.674314171657048e+01 2.908786784128718e+00
3.333333333333333e-02 1.054630998165487e+01 1.800256699786777e+00 3.665229009356760e+01 2.736831419179652e+00
6.666666666666667e-02 1.216136355893497e+01 1.869427074758344e+00 3.638054565850931e+01 2.271320191286392e+00
1.000000000000000e-01 1.477457514062632e+01 1.985551398186000e+00 3.595052921832929e+01 1.564832413077260e+00
1.333333333333333e-01 1.827173484102854e+01 2.126506871352237e+00 3.538352725374249e+01 6.961577078924049e-01
1.666666666666667e-01 2.250000000000000e+01 2.242819744362787e+00 3.469904398509713e+01 -2.240459203397538e-01
2.000000000000000e-01 2.727457514062631e+01 2.249607428495231e+00 3.391877398737809e+01 -1.085774209173886e+00
2.333333333333333e-01 3.238678841830866e+01 2.161999096847882e+00 3.310310673107046e+01 -1.925741391852497e+00
2.666666666666667e-01 3.761321158169134e+01 2.022716516959076e+00 3.233207433654969e+01 -2.860570744788424e+00
3.000000000000000e-01 4.272542485937367e+01 7.274427839000341e-01 3.187034268077404e+01 -4.451450677412036e+00
3.333333333333333e-01 4.750000000000001e+01 7.534156885963481e-01 3.119443623110481e+01 -5.574213180275573e+00
3.666666666666666e-01 5.172826515897145e+01 7.530556641867561e-01 3.061326624385819e+01 -6.529782973347862e+00
4.000000000000000e-01 5.522542485937370e+01 7.288333689845525e-01 3.014893397434911e+01 -7.291207772680705e+00
4.333333333333333e-01 5.783863644106503e+01 6.985999326900121e-01 2.981220577459929e+01 -7.843104343360752e+00
4.666666666666667e-01 5.945369001834514e+01 6.758774564727209e-01 2.960864566396383e+01 -8.179306837449257e+00
5.000000000000000e-01 6.000000000000001e+01 6.667603104536305e-01 2.954047175866424e+01 -8.293126550251102e+00
5.333333333333333e-01 5.945369001834514e+01 6.758795294234035e-01 2.960864370256456e+01 -8.179316038014472e+00
5.666666666666667e-01 5.783863644106503e+01 6.984415819617658e-01 2.981191303554755e+01 -7.844750661746004e+00
6.000000000000000e-01 5.522542485937367e+01 7.288599369832897e-01 3.014896454198361e+01 -7.290983085440277e+00
6.333333333333333e-01 5.172826515897146e+01 7.529775617626913e-01 3.061320616870517e+01 -6.530422268053580e+00
6.666666666666666e-01 4.750000000000001e+01 7.534701636862595e-01 3.119445223748638e+01 -5.574212200788309e+00
7.000000000000000e-01 4.272542485937370e+01 7.275436024756776e-01 3.187033856846422e+01 -4.451399223712405e+00
7.333333333333333e-01 3.761321158169136e+01 1.893191756873210e+00 3.234748884048991e+01 -2.831887478711693e+00
7.666666666666667e-01 3.238678841830867e+01 2.161679305082444e+00 3.310319120055942e+01 -1.930365955996096e+00
8.000000000000000e-01 2.727457514062632e+01 2.235072681201664e+00 3.391856574311391e+01 -1.080921570414423e+00
8.333333333333334e-01 2.249999999999999e+01 2.218139538791498e+00 3.469709657520387e+01 -2.103726495463888e-01
8.666666666666667e-01 1.827173484102856e+01 2.123089705935544e+00 3.538339596557329e+01 6.971791453099397e-01
9.000000000000000e-01 1.477457514062630e+01 1.983203847102765e+00 3.595025557662719e+01 1.565612569963789e+00
9.333333333333333e-01 1.216136355893498e+01 1.868321257876773e+00 3.638034583823099e+01 2.272494218279539e+00
9.666666666666667e-01 1.054630998165486e+01 1.799278795744461e+00 3.665207225448532e+01 2.738167270964847e+00
1.000000000000000e+00 9.999999999999998e+00 1.762604951497346e+00 3.674306049351959e+01 2.909125721838642e+00
