Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_PatelloFemoral.KneeFlexion Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_PatelloFemoral.Patella_FlexionExtension Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_PatelloFemoral.Patella_MedialSpin Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_PatelloFemoral.Patella_MedialTilt
0.000000000000000e+00 9.999999999999991e+00 6.391165595358201e+00 -2.245622047810146e+00 8.957464407731624e+00
3.333333333333333e-02 1.054630998165487e+01 6.742327719359099e+00 -2.240600985347746e+00 8.845526952121585e+00
6.666666666666667e-02 1.216136355893497e+01 7.824606548661384e+00 -2.236546908636468e+00 8.530612266713295e+00
1.000000000000000e-01 1.477457514062632e+01 9.632681064885507e+00 -2.217863527792104e+00 8.077496393092121e+00
1.333333333333333e-01 1.827173484102854e+01 1.213924146626782e+01 -2.175337099106152e+00 7.528478025426319e+00
1.666666666666667e-01 2.250000000000000e+01 1.530466487297791e+01 -2.122631740573776e+00 6.916110965203738e+00
2.000000000000000e-01 2.727457514062631e+01 1.904244166667224e+01 -2.098276586797091e+00 6.275320211802617e+00
2.333333333333333e-01 3.238678841830866e+01 2.311242437669352e+01 -2.065543759749692e+00 5.733323686594258e+00
2.666666666666667e-01 3.761321158169134e+01 2.717921525356229e+01 -1.907103620606948e+00 5.437087119599924e+00
3.000000000000000e-01 4.272542485937367e+01 3.029860564022202e+01 -9.874834494027328e-01 7.056673046140459e+00
3.333333333333333e-01 4.750000000000001e+01 3.372895839326111e+01 -5.987015773124719e-01 6.738302194609277e+00
3.666666666666666e-01 5.172826515897145e+01 3.680648235958703e+01 -2.310701345302954e-01 6.433096124355212e+00
4.000000000000000e-01 5.522542485937370e+01 3.937020268387251e+01 7.595330720810330e-02 6.175049651036979e+00
4.333333333333333e-01 5.783863644106503e+01 4.129216142443065e+01 2.955290063360444e-01 5.973395532573726e+00
4.666666666666667e-01 5.945369001834514e+01 4.247822155958318e+01 4.259283062070588e-01 5.842591048125984e+00
5.000000000000000e-01 6.000000000000001e+01 4.287800835922440e+01 4.688387978161863e-01 5.797705838963252e+00
5.333333333333333e-01 5.945369001834514e+01 4.247821062859072e+01 4.259393588648160e-01 5.842584268974718e+00
5.666666666666667e-01 5.783863644106503e+01 4.129046813672294e+01 2.969746417274117e-01 5.972706297291640e+00
6.000000000000000e-01 5.522542485937367e+01 3.937044871528050e+01 7.578168072748860e-02 6.175098603092872e+00
6.333333333333333e-01 5.172826515897146e+01 3.680569323595118e+01 -2.305625932531056e-01 6.432944816074272e+00
6.666666666666666e-01 4.750000000000001e+01 3.372893957447760e+01 -5.985890385999325e-01 6.738280930898812e+00
7.000000000000000e-01 4.272542485937370e+01 3.029864381043817e+01 -9.874386326096081e-01 7.056545649225287e+00
7.333333333333333e-01 3.761321158169136e+01 2.719167863036671e+01 -1.902540445038718e+00 5.567842305531690e+00
7.666666666666667e-01 3.238678841830867e+01 2.310759911964464e+01 -2.061827923793915e+00 5.727434510462008e+00
8.000000000000000e-01 2.727457514062632e+01 1.904548993525455e+01 -2.098919794742783e+00 6.277757558255099e+00
8.333333333333334e-01 2.249999999999999e+01 1.531317511845443e+01 -2.133749712260653e+00 6.912133089567543e+00
8.666666666666667e-01 1.827173484102856e+01 1.214090301854314e+01 -2.170964071491281e+00 7.526898362989701e+00
9.000000000000000e-01 1.477457514062630e+01 9.633302480933615e+00 -2.217821228805554e+00 8.075947223935357e+00
9.333333333333333e-01 1.216136355893498e+01 7.825270878862335e+00 -2.235947706243005e+00 8.531557139753609e+00
9.666666666666667e-01 1.054630998165486e+01 6.743304786421443e+00 -2.240461769827428e+00 8.844064699781370e+00
1.000000000000000e+00 9.999999999999998e+00 6.391526247295618e+00 -2.245925781369670e+00 8.954089519702295e+00
