Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_TibioFemoral.KneeFlexion Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_TibioFemoral.Tibia_LateralMedial Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_TibioFemoral.Tibia_AnteriorPosterior Main.KneeSimulatorStudy.Outputs.Kinematics_Lin_TibioFemoral.Tibia_SuperiorInferior
0.000000000000000e+00 9.999999999999991e+00 1.401545814891106e+00 -9.363456107754212e+00 -3.980192984094830e+01
3.333333333333333e-02 1.054630998165487e+01 1.403690209339829e+00 -9.373910454665923e+00 -3.982518846883093e+01
6.666666666666667e-02 1.216136355893497e+01 1.405103765615384e+00 -9.398042969187600e+00 -3.989733752217290e+01
1.000000000000000e-01 1.477457514062632e+01 1.397764099329186e+00 -9.405127380735106e+00 -4.002356456230670e+01
1.333333333333333e-01 1.827173484102854e+01 1.378372530291652e+00 -9.355356547518454e+00 -4.020845514539962e+01
1.666666666666667e-01 2.250000000000000e+01 1.341494030047517e+00 -9.240979510429115e+00 -4.044536697169197e+01
2.000000000000000e-01 2.727457514062631e+01 1.284483084534506e+00 -9.075435554929379e+00 -4.071593032520130e+01
2.333333333333333e-01 3.238678841830866e+01 1.213743377540431e+00 -8.905727623829032e+00 -4.099712020079063e+01
2.666666666666667e-01 3.761321158169134e+01 1.129455002148902e+00 -8.675768859040607e+00 -4.128704912583245e+01
3.000000000000000e-01 4.272542485937367e+01 1.062751766670351e+00 -8.394310216175009e+00 -4.156808120602427e+01
3.333333333333333e-01 4.750000000000001e+01 9.903759224219777e-01 -8.081603752966551e+00 -4.183124004738398e+01
3.666666666666666e-01 5.172826515897145e+01 9.302638921997285e-01 -7.762772913820270e+00 -4.206029252599746e+01
4.000000000000000e-01 5.522542485937370e+01 8.821391694805526e-01 -7.454830501537176e+00 -4.224436116174880e+01
4.333333333333333e-01 5.783863644106503e+01 8.497946763239237e-01 -7.191752268721910e+00 -4.237743047075755e+01
4.666666666666667e-01 5.945369001834514e+01 8.284576599477497e-01 -7.013664382730691e+00 -4.245743933073868e+01
5.000000000000000e-01 6.000000000000001e+01 8.221622293561187e-01 -6.950698443424431e+00 -4.248399498749243e+01
5.333333333333333e-01 5.945369001834514e+01 8.284369176555936e-01 -7.013669411729867e+00 -4.245743998436853e+01
5.666666666666667e-01 5.783863644106503e+01 8.497782381737380e-01 -7.191774395484606e+00 -4.237749194637367e+01
6.000000000000000e-01 5.522542485937367e+01 8.821226575584635e-01 -7.454837913102008e+00 -4.224436059212993e+01
6.333333333333333e-01 5.172826515897146e+01 9.302320887180675e-01 -7.762696578697193e+00 -4.206026830504194e+01
6.666666666666666e-01 4.750000000000001e+01 9.900829086954288e-01 -8.081662472265645e+00 -4.183124053445332e+01
7.000000000000000e-01 4.272542485937370e+01 1.062530516652989e+00 -8.394397631482070e+00 -4.156806963179895e+01
7.333333333333333e-01 3.761321158169136e+01 1.131242475630086e+00 -8.677185375495185e+00 -4.128641106291845e+01
7.666666666666667e-01 3.238678841830867e+01 1.213736573767421e+00 -8.905670889502618e+00 -4.099713682166505e+01
8.000000000000000e-01 2.727457514062632e+01 1.285403744351950e+00 -9.075550308659819e+00 -4.071587163665956e+01
8.333333333333334e-01 2.249999999999999e+01 1.339710601882450e+00 -9.228745892571729e+00 -4.044596282465563e+01
8.666666666666667e-01 1.827173484102856e+01 1.376166222043789e+00 -9.364868696767548e+00 -4.020763707575995e+01
9.000000000000000e-01 1.477457514062630e+01 1.396699871371980e+00 -9.405519203399590e+00 -4.002363071176681e+01
9.333333333333333e-01 1.216136355893498e+01 1.401090768813319e+00 -9.398594286350420e+00 -3.989714699809949e+01
9.666666666666667e-01 1.054630998165486e+01 1.400232596573099e+00 -9.374185161603132e+00 -3.982503285428405e+01
1.000000000000000e+00 9.999999999999998e+00 1.401523253438441e+00 -9.363482335989961e+00 -3.980192559766833e+01
