Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_TibioFemoral.KneeFlexion Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_TibioFemoral.Tibia_AdductionAbduction Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_TibioFemoral.Tibia_InternalExternal Main.KneeSimulatorStudy.Outputs.Kinematics_Rot_TibioFemoral.Tibia_FlexionExtension
0.000000000000000e+00 9.999999999999991e+00 -7.545515692718123e-01 2.372128716351430e+00 9.999999999999991e+00
3.333333333333333e-02 1.054630998165487e+01 -8.172172055480320e-01 2.360896339179727e+00 1.054630998165487e+01
6.666666666666667e-02 1.216136355893497e+01 -1.003287113899589e+00 2.315189395168143e+00 1.216136355893497e+01
1.000000000000000e-01 1.477457514062632e+01 -1.300289083626997e+00 2.233766925581224e+00 1.477457514062632e+01
1.333333333333333e-01 1.827173484102854e+01 -1.690112113644722e+00 2.109034473885711e+00 1.827173484102854e+01
1.666666666666667e-01 2.250000000000000e+01 -2.152146378563286e+00 1.952445735005539e+00 2.250000000000000e+01
2.000000000000000e-01 2.727457514062631e+01 -2.664844789813868e+00 1.703832360986425e+00 2.727457514062631e+01
2.333333333333333e-01 3.238678841830866e+01 -3.194249520411632e+00 1.380126567373422e+00 3.238678841830866e+01
2.666666666666667e-01 3.761321158169134e+01 -3.692556261211085e+00 1.037905896348942e+00 3.761321158169134e+01
3.000000000000000e-01 4.272542485937367e+01 -4.145767290986210e+00 6.338792612447218e-01 4.272542485937367e+01
3.333333333333333e-01 4.750000000000001e+01 -4.510935334435060e+00 3.216584100940895e-01 4.750000000000001e+01
3.666666666666666e-01 5.172826515897145e+01 -4.797065040639239e+00 4.846841876285108e-02 5.172826515897145e+01
4.000000000000000e-01 5.522542485937370e+01 -5.003503778242041e+00 -1.664071553095563e-01 5.522542485937370e+01
4.333333333333333e-01 5.783863644106503e+01 -5.139003291469944e+00 -3.206394818169216e-01 5.783863644106503e+01
4.666666666666667e-01 5.945369001834514e+01 -5.213774290400585e+00 -4.112041041498993e-01 5.945369001834514e+01
5.000000000000000e-01 6.000000000000001e+01 -5.237873036145778e+00 -4.421390094134622e-01 6.000000000000001e+01
5.333333333333333e-01 5.945369001834514e+01 -5.213775496026227e+00 -4.112114040021278e-01 5.945369001834514e+01
5.666666666666667e-01 5.783863644106503e+01 -5.139035427079811e+00 -3.207416572907340e-01 5.783863644106503e+01
6.000000000000000e-01 5.522542485937367e+01 -5.003504097483520e+00 -1.664041868435925e-01 5.522542485937367e+01
6.333333333333333e-01 5.172826515897146e+01 -4.797019172384271e+00 4.873662240411432e-02 5.172826515897146e+01
6.666666666666666e-01 4.750000000000001e+01 -4.510911476838398e+00 3.218312244131733e-01 4.750000000000001e+01
7.000000000000000e-01 4.272542485937370e+01 -4.145735501841371e+00 6.341255343650062e-01 4.272542485937370e+01
7.333333333333333e-01 3.761321158169136e+01 -3.694425488005407e+00 1.029001120431701e+00 3.761321158169136e+01
7.666666666666667e-01 3.238678841830867e+01 -3.194241046675926e+00 1.380150982802042e+00 3.238678841830867e+01
8.000000000000000e-01 2.727457514062632e+01 -2.665114832434883e+00 1.702544463036666e+00 2.727457514062632e+01
8.333333333333334e-01 2.249999999999999e+01 -2.155395083168451e+00 1.909383624749541e+00 2.249999999999999e+01
8.666666666666667e-01 1.827173484102856e+01 -1.687886098060335e+00 2.136798553810692e+00 1.827173484102856e+01
9.000000000000000e-01 1.477457514062630e+01 -1.300314873988450e+00 2.233464918275928e+00 1.477457514062630e+01
9.333333333333333e-01 1.216136355893498e+01 -1.003308022840684e+00 2.314944648760468e+00 1.216136355893498e+01
9.666666666666667e-01 1.054630998165486e+01 -8.172796398529504e-01 2.359970176225675e+00 1.054630998165486e+01
1.000000000000000e+00 9.999999999999998e+00 -7.545772082645565e-01 2.371962291859181e+00 9.999999999999998e+00
