Main.KneeSimulatorStudy.t Main.KneeSimulatorStudy.Outputs.MaxPenetrations.KneeFlexion Main.KneeSimulatorStudy.Outputs.MaxPenetrations.TibioFemoral_Lateral Main.KneeSimulatorStudy.Outputs.MaxPenetrations.TibioFemoral_Medial Main.KneeSimulatorStudy.Outputs.MaxPenetrations.PatelloFemoral
0.000000000000000e+00 9.999999999999991e+00 1.268270688926276e+00 1.222381153763423e+00 2.477215093196121e+00
3.333333333333333e-02 1.054630998165487e+01 1.120855459672646e+00 1.229170089371439e+00 2.490404818269924e+00
6.666666666666667e-02 1.216136355893497e+01 1.121157163994281e+00 1.286546915207098e+00 2.514780067587545e+00
1.000000000000000e-01 1.477457514062632e+01 1.098828321181001e+00 1.262909687648260e+00 2.487438533694680e+00
1.333333333333333e-01 1.827173484102854e+01 1.076845320717407e+00 1.304379398848796e+00 2.454461680938697e+00
1.666666666666667e-01 2.250000000000000e+01 1.046166618948159e+00 1.282408795795402e+00 2.443927828226347e+00
2.000000000000000e-01 2.727457514062631e+01 1.019299459746727e+00 1.282017239447295e+00 2.463086088724140e+00
2.333333333333333e-01 3.238678841830866e+01 9.840891551396826e-01 1.282344828818176e+00 2.529093521985012e+00
2.666666666666667e-01 3.761321158169134e+01 9.509332518687144e-01 1.283694162578502e+00 2.639459182204757e+00
3.000000000000000e-01 4.272542485937367e+01 9.188280999640389e-01 1.280951786536378e+00 3.045560374881967e+00
3.333333333333333e-01 4.750000000000001e+01 8.922248106143174e-01 1.287628446443016e+00 3.049793931523594e+00
3.666666666666666e-01 5.172826515897145e+01 8.719616661008016e-01 1.296012519707229e+00 3.050133896412597e+00
4.000000000000000e-01 5.522542485937370e+01 8.663051095319196e-01 1.301599921484992e+00 3.053577347435879e+00
4.333333333333333e-01 5.783863644106503e+01 8.783123451485638e-01 1.313904689617178e+00 3.054203194137223e+00
4.666666666666667e-01 5.945369001834514e+01 8.926577637915758e-01 1.325154298913067e+00 3.054695979628067e+00
5.000000000000000e-01 6.000000000000001e+01 8.990869869760584e-01 1.329279774830580e+00 3.053833677681318e+00
5.333333333333333e-01 5.945369001834514e+01 8.926483668697824e-01 1.325155011746790e+00 3.054696390384900e+00
5.666666666666667e-01 5.783863644106503e+01 8.782523112978925e-01 1.313829899194890e+00 3.054299926395566e+00
6.000000000000000e-01 5.522542485937367e+01 8.663063079049862e-01 1.301601056935977e+00 3.053559483612049e+00
6.333333333333333e-01 5.172826515897146e+01 8.720219911498207e-01 1.296055809541765e+00 3.050172579862112e+00
6.666666666666666e-01 4.750000000000001e+01 8.922574022624337e-01 1.287652797872378e+00 3.049780453905205e+00
7.000000000000000e-01 4.272542485937370e+01 9.188561108658323e-01 1.280978981802732e+00 3.045531886325016e+00
7.333333333333333e-01 3.761321158169136e+01 9.507994903038088e-01 1.283331185021398e+00 2.672924100696282e+00
7.666666666666667e-01 3.238678841830867e+01 9.840849272695388e-01 1.282337799467285e+00 2.527508972838157e+00
8.000000000000000e-01 2.727457514062632e+01 1.019240215503562e+00 1.281903288083625e+00 2.462486294685809e+00
8.333333333333334e-01 2.249999999999999e+01 1.044673029335564e+00 1.283483393090767e+00 2.448747225802105e+00
8.666666666666667e-01 1.827173484102856e+01 1.079469303354587e+00 1.278490348232378e+00 2.467822478262689e+00
9.000000000000000e-01 1.477457514062630e+01 1.098745852013986e+00 1.262844074258361e+00 2.488029458213018e+00
9.333333333333333e-01 1.216136355893498e+01 1.122684858631982e+00 1.242917705064895e+00 2.481165475033902e+00
9.666666666666667e-01 1.054630998165486e+01 1.121134927140325e+00 1.229415053629655e+00 2.490262632641723e+00
1.000000000000000e+00 9.999999999999998e+00 1.268224795362643e+00 1.222376857801847e+00 2.502264651067430e+00
